crop,sha256,splits,files
Cotton,b6e16627c431fb5b7660f67d69e84ac5bacb973d9cd7134bbacf10825bf067cc,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl112.jpg|F:\SIH_DATASET\processed\cotton\train\curl_virus\images.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl1 (2).jpg
Cotton,703f2ad924192506fd7e44171503e70a0ab69b054f461eee6c1ab84dc501c44b,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl162.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl371.jpg
Cotton,e9a1664cd5c2fccbe501f0f7d083483bdf64abad0e5ea6dca28a88e2224e2df4,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl103.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl105.jpg
Cotton,68d667204aaa3b48be2f11ed3012b62d8b8300c9c1f54ac40077f22d9cbac222,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl148.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl147.jpg
Cotton,35e76b8f239db1ff104f2c53fdf219630e499d7ffa0dd2c0bf257eddc9703a0f,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl421.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\images (2).jpg
Cotton,e29e273d2e2ca469efd0b5e22277f4086ebcdab355195e85640cddc9676212d6,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl190.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl186.jpg
Cotton,c220cf2afff10c89517792fa3df833e63dd1f364fa075338a3ae56f88b92ca73,train|valid,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl379.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curlvirus1.jpg|F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl299.jpg
Cotton,d02c7804cb070120a0b128425397bd34728df9d9faf4639746039b171c94760b,train|test,F:\SIH_DATASET\processed\cotton\train\curl_virus\curl250.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl250 - Copy.jpg
Cotton,e786ab8861c3287d831cedf3e451bc38abd61ea5ecfa43e44039202c53d13d66,train|valid,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\done6.jpg|F:\SIH_DATASET\processed\cotton\valid\fussarium_wilt\fus41.jpg
Cotton,914591b49dcc7c5355933158fcaf04dea0148018116989abf3a7bf51ebc9d42f,train|valid,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\done21.jpg|F:\SIH_DATASET\processed\cotton\valid\fussarium_wilt\FOV4-leaf-symptoms-courtesy-UC-Davis_468x351.jpg
Cotton,22a25a1f1d6184ed734f0eaebe5ec09d402f83ecb5830237f91de7180c4d298c,train|test,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\fus33.jpg|F:\SIH_DATASET\processed\cotton\test\fussarium_wilt\done5.jpg
Cotton,c4f84cbc232bc56dac2677959b6e091ffd639c4d46e7c2e4cad615a253c9cb59,train|valid,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\fus167.jpg|F:\SIH_DATASET\processed\cotton\valid\fussarium_wilt\done18.jpg
Cotton,b8aaabfa87d5d62ca42669fd5f3d42d72ddf8fcab620a12da1696144fab14fac,train|test,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\fus9.jpg|F:\SIH_DATASET\processed\cotton\test\fussarium_wilt\done.jpg
Cotton,e1ae28c9ebad6eb60117881090c250757a1d39c10f05bcac41348807ceb52b98,train|test,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\fus16.jpg|F:\SIH_DATASET\processed\cotton\test\fussarium_wilt\done1.jpg
Cotton,edc67cc73301eaf0a852e7eec0f84457e7f5b2d2a25fdccec3bc0cc80e911da9,train|test,F:\SIH_DATASET\processed\cotton\train\fussarium_wilt\fus72.jpg|F:\SIH_DATASET\processed\cotton\test\fussarium_wilt\done9.jpg
Cotton,f67dbb73bf2bfdfe07ae3a4d9b388edb31bbb50e5dc315c9bdc2d6b18b9ddc90,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h66.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h65.jpg
Cotton,c8ff17e44968016e3eb5b0372173b98bd0439c435d9fade79217571a20bab9c5,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h477.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h447.jpg
Cotton,a36bd2c00282d5e6cce83688a35c68b93a15c40d8fd9d2479eeda1664f21584f,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h179.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h177.jpg
Cotton,ae7d14e0d5a747eeca75b880ef3808e1b66d64546f9c15ba81f9b833f4a8e8c7,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h303.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h301.jpg
Cotton,77fcc3d3fdda33fed460311e3ec8bdec8ced26e08b6dedc99057b101343367d0,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\555.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h484.jpg
Cotton,06037909a51c0078f96dfef00883209ddf19cf0441046d330c2cb07d6f9f9fbc,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h109.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h108.jpg
Cotton,cbe24bdecb527b5258521b8f55e319eeebef2b963822b8ad124d2557815b478c,train|test,F:\SIH_DATASET\processed\cotton\train\healthy\h295.jpg|F:\SIH_DATASET\processed\cotton\test\healthy\h302.jpg
Cotton,a63227c7929db544e221b8d9d393e3d536c4988ea1ca3013259a0710794d8287,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h277.jpg|F:\SIH_DATASET\processed\cotton\train\healthy\h341.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h399.jpg
Cotton,a998e249ece27eafc9a1b9eeef02c6d15974a1586f1e08823203e30f0b9f2445,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h392.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h416.jpg
Cotton,792cdfef53054f0cff33262f15d3b98dabdba25e916f0a8495a994d9f2498ef9,train|test,F:\SIH_DATASET\processed\cotton\train\healthy\h154.jpg|F:\SIH_DATASET\processed\cotton\test\healthy\h152.jpg
Cotton,78ce2d9ad87e67588002a803d40b73111e7321bcd4a0cb9b867f7371e7e8cb02,train|test,F:\SIH_DATASET\processed\cotton\train\healthy\h333.jpg|F:\SIH_DATASET\processed\cotton\test\healthy\h396.jpg
Cotton,235236c0ec911a154c760f8501098567bd511d54dbf8bbd52ed658f475a9209e,train|valid,F:\SIH_DATASET\processed\cotton\train\healthy\h57.jpg|F:\SIH_DATASET\processed\cotton\valid\healthy\h58.jpg
Cotton,241f27ac4b5d93378939389d0b0289dd7a9dd53a29357a0bb83eee2f50dd7316,test|valid,F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl249 - Copy.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl249.jpg
Cotton,bd3934bc31cc78e4138d2f6c18a894287e32a36565e1d4186f4a18c5a0459c0b,test|valid,F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl255.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl258.jpg
Cotton,431918ede7353ef369bab34c6ed0d31e3986730eed22d0cba08acb7ef7e48b5f,test|valid,F:\SIH_DATASET\processed\cotton\valid\curl_virus\curl373.jpg|F:\SIH_DATASET\processed\cotton\test\curl_virus\curl164.jpg
Cotton,c282123080b516a051537a8a458505ae0fe7512fd06904267d4f84d988084503,test|valid,F:\SIH_DATASET\processed\cotton\valid\fussarium_wilt\fus57.jpg|F:\SIH_DATASET\processed\cotton\test\fussarium_wilt\done8.jpg
Cotton,b89130b988676543aacda5d42fb17b20b8308ac24ea333729b2059fb0f1ac114,test|valid,F:\SIH_DATASET\processed\cotton\valid\healthy\h305.jpg|F:\SIH_DATASET\processed\cotton\test\healthy\h289.jpg
