name,professional_designation,specialization,organization,district,state,address,phone,email,website,source_url,verification_date,source_type,services,crop_specialization,facility_type,verification_status
"Department of Plant Pathology, Agricultural College and Research Institute (AC&RI) Madurai","Professor & Head, Plant Pathology",Foliar and Soil-borne Diseases of Southern Dry Zones,Tamil Nadu Agricultural University (TNAU),Madurai,Tamil Nadu,"AC&RI, Othakadai, Madurai - 625104, Tamil Nadu",0452-2422956,deanagrimdu@tnau.ac.in,https://tnau.ac.in,https://tnau.ac.in,2026-09-11,University College Department of Plant Pathology,"Plant disease clinic for southern Tamil Nadu districts, mushroom spawn production, diagnostic advisory","Paddy, Cotton, Pulses, Vegetables",University Regional Agricultural College,VERIFIED
Dr. N. V. Radhakrishnan,"Professor & Head, Department of Plant Pathology","Tropical Plant Virology, Soil Borne Pathogens & Biological Control","College of Agriculture, Vellayani, Kerala Agricultural University (KAU)",Thiruvananthapuram,Kerala,"College of Agriculture, Vellayani, Thiruvananthapuram - 695522, Kerala",9446283898,radhakrishnan.nv@kau.in,https://kau.in,https://kau.in,2026-09-11,Official State Agricultural University Directory,"Plant disease clinic, root health inspection, safe-to-eat vegetable disease certification","Coconut, Vegetables, Banana, Tapioca",University College Department of Plant Pathology,VERIFIED
"Division of Crop Protection, ICAR-CPCRI Kasaragod",Head & Principal Scientists (Plant Pathology & Entomology),"Coconut & Arecanut Root Wilt, Bud Rot, Stem Bleeding, Basal Stem Rot",ICAR-Central Plantation Crops Research Institute (CPCRI),Kasaragod,Kerala,"Kudlu Post, Kasaragod - 671124, Kerala",+91 4994-232893,director.cpcri@icar.gov.in,https://cpcri.gov.in,https://cpcri.gov.in,2026-09-11,ICAR National Research Institute,"Reference diagnosis for coconut phytoplasma root wilt, fungal rot pathogen isolation, biological control agent supply","Coconut, Arecanut, Cocoa",National Plantation Crops Research Institute,VERIFIED
"Division of Crop Protection, ICAR-IISR Kozhikode","Head, Crop Protection Division (Pathology, Nematology, Entomology)","Spices Pathology, Phytophthora Quick Wilt, Nematode Complexes",ICAR-Indian Institute of Spices Research (IISR),Kozhikode,Kerala,"Marikunnu Post, Kozhikode (Calicut) - 673012, Kerala",0495-2731410,directorspices@gmail.com,https://spices.res.in,https://spices.res.in,2026-09-11,ICAR National Research Institute,"Phytophthora indexing of black pepper vines, diagnostic clinics for cardamom and ginger/turmeric diseases, biocontrol Trichoderma IISR-6","Black Pepper, Cardamom, Turmeric, Ginger, Nutmeg",National Spices Research Institute,VERIFIED
"Department of Plant Pathology, College of Agriculture Padannakkad","Professor & Head, Plant Pathology",Rice and Coastal Plantation Pathology,Kerala Agricultural University (KAU),Kasaragod,Kerala,"College of Agriculture, Padannakkad, Nileshwar, Kasaragod - 671314, Kerala",8547195426,hodpath.coav@kau.in,https://kau.in,https://kau.in,2026-09-11,University College Department of Plant Pathology,"Diagnostic lab for north Kerala farmers, paddy blight identification, coconut frond inspection","Paddy, Coconut, Arecanut, Pepper",University Regional Agricultural College,VERIFIED
"Cardamom Research Station, Pampadumpara (KAU)",Professor & Plant Pathologist,"Highland Spices Pathology, Azhukal Disease, Chenthal, Capsule Rot",Kerala Agricultural University (KAU),Idukki,Kerala,"CRS, Pampadumpara, Idukki District - 685556, Kerala",04868-236263,crspams@kau.in,https://kau.in,https://kau.in,2026-09-11,Agricultural University Research Station,"Clinical diagnostics for Cardamom Hills planters, weather-based fungicide spray scheduling","Cardamom, Black Pepper, Ginger",Specialized Spices Research Station,VERIFIED
Dr. M. K. Jyothsna / Dr. M. Pradeep,Professors of Plant Pathology,"Groundnut, Tomato & Rice Pathology","S.V. Agricultural College, ANGRAU",Tirupati,Andhra Pradesh,"Department of Plant Pathology, S.V. Agricultural College, Tirupati - 517502, AP",9704203409 / 9494968021,mk.jyothsna@angrau.ac.in,https://angrau.ac.in,https://angrau.ac.in,2026-09-11,Official University Faculty Directory,"Rayalaseema farmer diagnostic clinic, viral testing of tomato and groundnut foliage, pathogen isolation","Tomato, Groundnut, Paddy, Chilli",University Agricultural College Department,VERIFIED
"Regional Agricultural Research Station (RARS Lam, Guntur)",Principal Scientists (Plant Pathology & Entomology),"Chilli Anthracnose, Cotton Bacterial Blight & Wilt, Whitefly Complexes",Acharya N.G. Ranga Agricultural University (ANGRAU),Guntur,Andhra Pradesh,"RARS Lam, Guntur - 522034, Andhra Pradesh",0863-2347101,rarslam@angrau.ac.in,https://angrau.ac.in,https://angrau.ac.in,2026-09-11,Agricultural University Regional Research Station,"Guntur chilli pest and disease diagnostic centre, pesticide efficacy trials, cotton disease diagnostic clinic","Chilli, Cotton, Blackgram, Maize",Zonal Regional Agricultural Research Station,VERIFIED
ICAR-Central Tobacco Research Institute (CTRI Rajahmundry),"Head, Division of Crop Protection","Tobacco Pathology (Black Shank, Mosaic, Brown Spot) and Entomology",ICAR-Central Tobacco Research Institute (CTRI),East Godavari,Andhra Pradesh,"ICAR-CTRI, Bhaskar Nagar, Rajahmundry - 533105, Andhra Pradesh",0883-2449871,directorctri@gmail.com,https://ctri.icar.gov.in,https://ctri.icar.gov.in,2026-09-11,ICAR National Institute,"Tobacco disease diagnostic clinic, soil pathogen testing, certified disease-free nursery certification","Tobacco, Pulses, Maize",National Commodity Research Institute,VERIFIED
Dr. B. Vidyasagar,"Professor & Head, Department of Plant Pathology","Cereal and Grain Legume Pathology, Seed Pathology","College of Agriculture, PJTSAU, Rajendranagar",Rangareddy,Telangana,"College of Agriculture, PJTSAU, Rajendranagar, Hyderabad - 500030",8179526928,bvidyasagar24@gmail.com,https://pjtau.edu.in,https://pjtau.edu.in,2026-09-11,Official University Faculty Directory,"Diagnostic clinic for Telangana farmers, plant disease clinic on campus, seed pathology advisory","Paddy, Maize, Cotton, Redgram",University Department of Plant Pathology,VERIFIED
"Division of Crop Protection, ICAR-IIRR Hyderabad",Head & Principal Scientists (Plant Pathology & Entomology),"Rice Blast, Sheath Blight, Bacterial Blight, BPH, Stem Borer",ICAR-Indian Institute of Rice Research (IIRR),Hyderabad,Telangana,"ICAR-IIRR, Rajendranagar, Hyderabad - 500030, Telangana",040-24591241,iirricar@gmail.com,https://icar-iirr.org,https://icar-iirr.org,2026-09-11,ICAR National Institute,"All India Coordinated Rice Pathology network, national virulence monitoring for blast and blight, resistance screening",Paddy / Rice,National Commodity Research Institute,VERIFIED
Regional Agricultural Research Station (RARS Warangal),Principal Scientist (Plant Pathology),"Cotton and Chilli Pathology, Yellow Mosaic, Wilt",Professor Jayashankar Telangana State Agricultural University (PJTSAU),Warangal,Telangana,"RARS, Mulugu Road, Warangal - 506007, Telangana",0870-2550186,rars_wgl@yahoo.co.in,https://pjtau.edu.in,https://pjtau.edu.in,2026-09-11,Agricultural University Regional Research Station,"Diagnostic support for Warangal cotton and chilli farmers, pesticide resistance monitoring","Cotton, Chilli, Maize, Paddy",Zonal Regional Agricultural Research Station,VERIFIED
NO VERIFIED PUBLIC CONTACT FOUND,UNAVAILABLE,UNAVAILABLE,District Agricultural Department (General Extension Only - No Dedicated University Pathology Clinic),Yadadri Bhuvanagiri,Telangana,"District Collectorate, Bhuvanagiri",NOT FOUND,NOT FOUND,NOT FOUND,https://telangana.gov.in,2026-09-11,Public Directory Audit,General extension only; farmers referred to PJTSAU Rajendranagar or RARS Warangal for laboratory diagnosis,"Paddy, Cotton",District Extension (Non-Specialist),NO VERIFIED PUBLIC CONTACT FOUND
NO VERIFIED PUBLIC CONTACT FOUND,UNAVAILABLE,UNAVAILABLE,District Agricultural Department (General Extension Only),Tenkasi,Tamil Nadu,"District Collectorate Complex, Tenkasi",NOT FOUND,NOT FOUND,NOT FOUND,https://tn.gov.in,2026-09-11,Public Directory Audit,General extension only; farmers referred to AC&RI Killikulam (Thoothukudi) or TNAU Coimbatore for pathology diagnostics,"Paddy, Pulses",District Extension (Non-Specialist),NO VERIFIED PUBLIC CONTACT FOUND
NO VERIFIED PUBLIC CONTACT FOUND,UNAVAILABLE,UNAVAILABLE,District Agricultural Office (No Dedicated University Pathology Lab),Chamarajanagar,Karnataka,"B.R. Hills Road, Chamarajanagar",NOT FOUND,NOT FOUND,NOT FOUND,https://karnataka.gov.in,2026-09-11,Public Directory Audit,General extension only; farmers referred to ZARS Mandya (VC Farm) or UAS Bangalore for plant pathology clinics,"Turmeric, Sugarcane, Banana",District Extension (Non-Specialist),NO VERIFIED PUBLIC CONTACT FOUND
