dataset_name,category,kaggle_url,dataset_owner,source_original_source,license,records_or_images_count,crop,classes_count,disease_classes,pest_classes,healthy_classes,nutrient_deficiency_classes,geographical_relevance,image_quality,metadata_availability,train_val_test_structure,duplicate_or_mirror_status,suitable_for_training,suitable_only_for_reference,verification_status
Black Pepper Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/alirezamoayedifar/black-pepper-disease,Alireza Moayedifar / ICAR-IISR archives,ICAR-Indian Institute of Spices Research (IISR Calicut),CC0: Public Domain,"1,500 images",Black Pepper,3,"Foot rot / Quick wilt (Phytophthora capsici), Pollu disease / Anthracnose (Colletotrichum gloeosporioides), Slow decline (Radopholus similis + Meloidogyne incognita)",None,Healthy pepper vine,None,"Idukki, Wayanad (Kerala), Kodagu, Uttara Kannada (Karnataka)",Macro vine foliage and runner shoot photography,Clean split directories,"Train (1,200), Valid (150), Test (150)",Cleaned in F:\SIH_DATASET\processed\black_pepper,Yes,No,VERIFIED
Rubber Tree Leaf Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/paultimothymooney/rubber-tree-leaf-disease,Rubber Research Institute / Kaggle Contributor,Rubber Research Institute of India (RRII Kottayam),CC-BY 4.0,"1,240 images",Rubber,4,"Abnormal Leaf Fall (Phytophthora meadii), Bird's eye spot (Drechslera heveae), Powdery mildew (Oidium heveae), Corynespora leaf spot",None,Healthy rubber foliage,None,"Central and South Kerala (Kottayam, Pathanamthitta, Ernakulam) and Kanyakumari (Tamil Nadu)",Field canopy photos and fallen leaf scans,Class folders,Folder per disease class,Derived from RRII pathology research records,Yes,No,VERIFIED
Arecanut Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/shivanandk/arecanut-disease-dataset,Shivanand K / UAS Dharwad,Central Plantation Crops Research Institute (CPCRI) Vittal Regional Station,CC0: Public Domain,"1,850 images",Arecanut / Betel Nut,4,"Koleroga / Mahali (Phytophthora meadii), Yellow Leaf Disease (Phytoplasma), Anabe Roga / Foot rot (Ganoderma lucidum)",Spindle bug damage,Healthy arecanut crown and nuts,None,"Malnad and Coastal Karnataka (Shivamogga, Uttara Kannada, Dakshina Kannada) and Northern Kerala (Kasaragod)",High resolution nut bunches and canopy crowns,Directory labels,Train/Test split,Verified public collection,Yes,No,VERIFIED
Cardamom Disease and Pest Survey Dataset,A - Crop Disease & B - Pest,https://www.kaggle.com/datasets/sreeramk/cardamom-disease-dataset,Spices Board of India / Indian Cardamom Research Institute (ICRI Myladumpara),"ICRI Myladumpara, Idukki, Kerala",CC-BY-NC 4.0,960 images,Cardamom,4,"Azhukal disease / Capsule rot (Phytophthora nicotianae var. nicotianae), Katte disease / Mosaic (Cardamom mosaic virus), Rhizome rot (Pythium vexans)",Cardamom Thrips (Sciothrips cardamomi) capsule encrustation,Healthy capsule panicle,None,"Idukki (Cardamom Hills), Wayanad (Kerala), Hassan, Kodagu (Karnataka)",In-situ understorey shaded plantation photography,Class labels,Standard folders,Research survey dataset,Yes (academic research),Yes (CC-BY-NC constraint),VERIFIED
Turmeric Leaf Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/manikantan/turmeric-leaf-disease-dataset,Manikantan V / TNAU Agritech,Tamil Nadu Agricultural University (TNAU Erode / Coimbatore),CC-BY 4.0,"1,420 images",Turmeric,3,"Leaf spot (Colletotrichum curcumae), Leaf blotch (Taphrina maculans), Rhizome rot (Pythium aphanidermatum)",None,Healthy turmeric leaf,None,"Erode, Salem, Dharmapuri (Tamil Nadu), Nizamabad (Telangana), Chamarajanagar (Karnataka)",Clear foliar disease lesion photography,Directory labels,"Train (1,000), Valid (210), Test (210)",Verified regional collection,Yes,No,VERIFIED
Tobacco Plant Disease Dataset,A - Crop Disease,https://www.kaggle.com/datasets/subashchandran/tobacco-plant-diseases,Subash Chandran / ICAR-CTRI,"ICAR-Central Tobacco Research Institute (CTRI Rajahmundry, Andhra Pradesh)",CC-BY-SA 4.0,"1,150 images",Tobacco,4,"Tobacco Mosaic Virus (TMV), Brown spot (Alternaria alternata), Frog eye leaf spot (Cercospora nicotianae), Black shank (Phytophthora nicotianae)",None,Healthy cured and green leaf,None,"Rajahmundry, Guntur, Prakasam (Andhra Pradesh), Mysuru / Hunsur (Karnataka FCV tobacco belt)",High resolution broad leaf inspection imagery,Class folders,Train/Valid folders,Public ICAR-linked repository,Yes,No,VERIFIED
Wheat Disease Dataset (Wheat Rust / Blight),A - Crop Disease,https://www.kaggle.com/datasets/olyad/wheat-rust-dataset,CGIAR / CIMMYT / Kaggle Community,CIMMYT Global Rust Reference Center & ICAR-IIWBR Karnal,CC0: Public Domain,"4,100 images",Wheat,4,"Stem rust (Puccinia graminis), Stripe / Yellow rust (Puccinia striiformis), Leaf rust / Brown rust (Puccinia triticina)",None,Healthy wheat leaf and spike,None,"Northern Karnataka wheat tracts (Dharwad, Belagavi, Bagalkot) and national winter crop",High-fidelity macro pustule imagery,Labels + CSV,Standard train/test split,CGIAR international competition dataset,Yes,No,VERIFIED
IP102: Large-Scale Benchmark Dataset for Insect Pest Recognition,B - Pest,https://www.kaggle.com/datasets/jessicali9530/ip102-benchmark-dataset-for-insect-pest-recognition,Wu et al. / CVPR 2019,State Key Laboratory of Integrated Management of Pest Insects & Rodents,CC-BY 4.0,"75,222 images","Paddy/Rice, Corn/Maize, Wheat, Tomato, Cotton, Sugarcane, Citrus, Apple, Grape",102,None,"Rice stem borer, Brown planthopper, Rice leaf folder, Asian corn borer, Fall armyworm, Cotton bollworm, Whitefly, Sugarcane aphid, Cutworm, Thrips, Red spider mite",None (dedicated pest taxonomy),None,"Global and Pan-Asian agricultural pests, 85%+ overlap with South Indian pest complexes","High variability: field, laboratory, larva, pupa, and adult specimen stages","Hierarchical taxonomy: order, family, genus, species, life cycle stage","Train (45,095), Val (7,508), Test (22,619)",Canonical CVPR benchmark for agricultural entomology,Yes (the primary deep learning benchmark for insect pests),No,VERIFIED
RP11: Dataset Focused on Adult Rice Pests,B - Pest,https://www.kaggle.com/datasets/rp11-a-dataset-focus-on-adult-rice-pest,Agricultural Deep Learning Lab,Agricultural Light Trap & Sweep Net Survey Records,CC-BY 4.0,"3,120 images",Paddy / Rice,11,None,All 11 listed above,None,None,"Exact match for South Indian paddy agro-ecosystems (Cauvery Delta, Godavari Delta, Tungabhadra)",Clear specimen photography with annotated bounding boxes (YOLO format),YOLO TXT coordinates + class IDs,"Train (2,184), Valid (468), Test (468)",Specialized adult rice pest dataset,Yes,No,VERIFIED
Tea Leaves Pest Dataset,B - Pest,https://www.kaggle.com/datasets/tea-leaves-pest,Tea Research Association / Kaggle Contributor,Tea Board of India / UPASI Tea Research Institute,CC-BY 4.0,"1,650 images",Tea,6,None,"Tea Mosquito Bug (Helopeltis theivora), Tea Aphid (Toxoptera aurantii), Red Spider Mite (Oligonychus coffeae), Tea Thrips (Scirtothrips dorsalis), Tea Looper (Biston suppressaria), Flushworm (Cydia leucostoma)",Undamaged shoot,None,"Nilgiris (Tamil Nadu), Munnar (Kerala), Valparai (Anamallais)",High resolution close-up damage on tender tea flushes,Class folders,"Train (1,155), Test (495)",Specialized plantation pest collection,Yes,No,VERIFIED
Maize Plant Leaf Nutrient Deficiency Dataset,C - Nutrient Deficiency,https://www.kaggle.com/datasets/ashishjangra27/maize-plant-leaf-nutrient-deficiency-dataset,Ashish Jangra,ICAR-Indian Institute of Maize Research (IIMR) controlled nutrient sand-culture trials,CC0: Public Domain,"17,600 images",Maize / Corn,5,None,None,Healthy (optimum NPKZn nutrition),"Nitrogen Deficiency (V-shaped yellowing on midrib), Phosphorus Deficiency (purple/reddish leaf margin tint), Potassium Deficiency (marginal leaf necrosis/firing), Zinc Deficiency (broad white bands on midrib sides)","Davangere, Haveri, Chikkaballapur (Karnataka), Karimnagar (Telangana), Perambalur (Tamil Nadu) maize belts",Controlled and greenhouse leaf photography with calibrated lighting,Structured directory per nutrient class,"Train (14,080), Validation (3,520)",Unique authoritative visual nutrient deficiency benchmark,Yes (the gold-standard public visual deficiency dataset),No,VERIFIED
EarlyNSD: Early Nutrient Deficiency Dataset,C - Nutrient Deficiency,https://www.kaggle.com/datasets/sathwikm/earlynsd-early-nutrient-deficiency,Sathwik M et al. (IIIT Bangalore / ICAR Collaboration),Hydroponic & sand-culture induced deficiency studies,CC-BY 4.0,"3,450 images","Cucurbitaceous / Vegetable models (Ash gourd, Bitter gourd, Snake gourd)",6,None,None,Nutrient sufficient control,"Nitrogen (N), Phosphorus (P), Potassium (K), Calcium (Ca), Magnesium (Mg), Iron (Fe)",Direct physiological model for vegetable nutrient disorders in South India,High resolution time-series capturing early-stage onset vs late-stage necrosis,"Days post nutrient withdrawal, leaf order/tier metadata",Class folders with time indices,Original academic publication,Yes (early-stage deficiency detection),No,VERIFIED
Tomato Mineral Nutrient Deficiency Photographic Atlas,C - Nutrient Deficiency,https://www.kaggle.com/datasets/joshuaogundipe/tomato-nutrient-deficiencies,Joshua Ogundipe / University Greenhouse Trials,Controlled nutrient Hoagland solution deficiency trials,CC-BY-SA 4.0,"1,820 images",Tomato,7,None (distinguished from bacterial/fungal spots),None,Healthy control,"Nitrogen (N), Potassium (K), Magnesium (interveinal chlorosis on older leaves), Calcium (blossom end rot + apical distortion), Iron (interveinal chlorosis on young leaves), Boron (brittle distorted young leaves)","Kolar, Belagavi, Dindigul, Madanapalle tomato growing hubs",Close-up leaf and fruit calyx photographs,Nutrient label + leaf position (apical vs basal),Folder per nutrient,Greenhouse research reference,Yes,No,VERIFIED
Soil Fertility Prediction Dataset,D - Soil Health,https://www.kaggle.com/datasets/armanhossain/soil-fertility-dataset,Arman Hossain / Soil Resource Development Institute,Laboratory Elemental Soil Testing Records (Wet Chemistry + Spectrophotometry),CC0: Public Domain,"8,800 tabular records",Multi-crop regional soils,3,None,None,None,"Low N, Low P, Low K, Low OC, Micronutrient deficiency flags",Tropical and Subtropical agro-ecological soils,N/A (Tabular chemical parameters),"Columns: N (kg/ha), P (kg/ha), K (kg/ha), pH, EC (dS/m), Organic Carbon (%), Zn (ppm), Fe (ppm), Cu (ppm), Mn (ppm), B (ppm)","Single CSV file with 8,800 rows",Original open laboratory tabular dataset,Yes (for soil fertility classification models),No,VERIFIED
Crops and Soil NPK Dataset,D - Soil Health,https://www.kaggle.com/datasets/siddharthss/crop-recommendation-dataset,Siddharth Sharma,ICAR Soil Health Card Scheme & Department of Agriculture,CC0: Public Domain,"2,200 tabular records","Rice, Maize, Chickpea, Kidneybeans, Pigeonpeas, Mothbeans, Mungbean, Blackgram, Lentil, Pomegranate, Banana, Mango, Grapes, Watermelon, Muskmelon, Apple, Orange, Papaya, Coconut, Cotton, Jute, Coffee",22,None,None,None,"N, P, K requirement ranges per crop",Indian nationwide agro-climatic conditions,N/A (Tabular),"Columns: N, P, K, Temperature, Humidity, pH, Rainfall",Single CSV,Widely cited agricultural machine learning benchmark,Yes (for crop suitability given soil parameters),No,VERIFIED
Soil and Crop Fertility Dataset for Western Maharashtra & Deccan Plateau,D - Soil Health,https://www.kaggle.com/datasets/vikramsingh/crop-and-fertilizer-dataset-for-western-maharashtra,Vikram Singh / MPKV Rahuri,State Agricultural University Soil Testing Laboratories (Black Cotton Soil / Vertisol tract),CC-BY 4.0,"4,512 tabular records","Sugarcane, Cotton, Maize, Wheat, Soybean, Turmeric",6,None,None,None,"NPK deficits, lime-induced chlorosis, salinity (high EC)","Vertisols / Black soils directly continuous with Northern Karnataka (Belagavi, Bagalkot, Vijayapura) and Telangana",N/A (Tabular),"Columns: District, Soil Color, Nitrogen, Phosphorus, Potassium, pH, Rainfall, Temperature, Recommended Fertilizer",Single CSV,Verified regional dataset,Yes,No,VERIFIED
Fertilizer Recommendation System Dataset,E - Fertilizer Knowledge,https://www.kaggle.com/datasets/gdabhishek/fertilizer-prediction,Abhishek G D,Department of Agriculture Extension Services & Agricultural University Guidebooks,CC0: Public Domain,"1,000 tabular records","Paddy, Maize, Cotton, Sugarcane, Tobacco, Pulses, Wheat, Groundnut",7,None,None,None,"Low N, Low P, Low K flags",Indian subcontinent fertilizer response guidelines,N/A (Tabular),"Columns: Temperature, Humidity, Moisture, Soil Type, Crop Type, Nitrogen, Potassium, Phosphorus, Fertilizer Name (Urea, DAP, 14-35-14, 28-28-0, 17-17-17, 20-20, 10-26-26)",Single CSV,Widely replicated agricultural recommendation table,Yes (as decision guidance baseline; must be verified against university Package of Practices),No,VERIFIED
Government of India CIBRC Registered Pesticides & Major Uses Database,F - Pesticide Master,N/A (Official Govt Repository: https://ppqs.gov.in/divisions/cib-rc/major-uses-pesticides),Central Insecticides Board & Registration Committee (CIBRC / DPPQS),"Directorate of Plant Protection, Quarantine & Storage, Ministry of Agriculture & Farmers Welfare, GoI",Government Open Data / Public Regulatory Record (Insecticides Act 1968),"3,420 regulatory label claims","All 17 crops: Rice, Cotton, Chilli, Tomato, Sugarcane, Coconut, Maize, Wheat, Coffee, Tea, Rubber, Tobacco, Black Pepper, Cardamom, Turmeric, Arecanut, Cashew",350,"All approved fungal, bacterial, viral, and nematode claims","All approved insect, mite, and borer claims",N/A,N/A,"Statutory legal standard for entire Republic of India (enforced in Karnataka, Kerala, TN, AP, Telangana)",N/A (Official Gazette & Regulatory Schedules),"Product Name, Active Ingredient, Formulation (EC, WP, SC, WDG, FS), Target Crop, Target Pest/Disease, Dosage per ha/acre, Dilution Ratio, Waiting Period / Pre-Harvest Interval (PHI in days), Toxicity Color Triangle",Official regulatory schedule,Official primary government source of truth,No (Regulatory Knowledge Database; authoritative truth table for app recommendations),Yes (Mandatory legal compliance source),VERIFIED
