crop,crop_id,ui_visible,dataset_available,dataset_image_count,disease_classes,model_trained,validation_score,onnx_exists,onnx_verified,mobile_connected,offline_tested,online_gemini_supported,actual_status
Sapota,sapota,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Pineapple,pineapple,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Grapes,grapes,YES,YES (Repo),0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Jackfruit,jackfruit,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Watermelon,watermelon,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Muskmelon,muskmelon,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Acid Lime,acid_lime,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Coconut,coconut,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO (No ONNX model),NO,YES,ONLINE_ONLY
Arecanut,arecanut,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Cashew,cashew,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Coffee,coffee,YES,YES (Repo),0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Tea,tea,YES,YES (Repo),0,0,NO,N/A,NO,NO,NO (No ONNX model),NO,YES,ONLINE_ONLY
Rubber,rubber,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Cocoa,cocoa,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Oil Palm,oil_palm,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Palmyrah,palmyrah,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Black Pepper,black_pepper,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO (No ONNX model),NO,YES,ONLINE_ONLY
Cardamom,cardamom,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Turmeric,turmeric,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Ginger,ginger,YES,PARTIAL,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Clove,clove,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Coriander,coriander,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Cumin,cumin,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Fenugreek,fenugreek,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Betel Vine,betel_vine,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
Tamarind,tamarind,YES,NO,0,0,NO,N/A,NO,NO,NO,NO,YES,ONLINE_ONLY
