source_path,dataset_name,crop,class,image_count,source_type,license_if_known,selected_for_training
F:\SIH_DATASET\processed\banana_leaf\train\healthy,SIH_DATASET/processed/banana_leaf,Banana Leaf,healthy (train),423,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\train\pestalotiopsis,SIH_DATASET/processed/banana_leaf,Banana Leaf,pestalotiopsis (train),458,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\train\sigatoka,SIH_DATASET/processed/banana_leaf,Banana Leaf,sigatoka (train),698,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\valid\cordana,SIH_DATASET/processed/banana_leaf,Banana Leaf,cordana (valid),56,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\valid\healthy,SIH_DATASET/processed/banana_leaf,Banana Leaf,healthy (valid),52,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\valid\pestalotiopsis,SIH_DATASET/processed/banana_leaf,Banana Leaf,pestalotiopsis (valid),57,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\valid\sigatoka,SIH_DATASET/processed/banana_leaf,Banana Leaf,sigatoka (valid),87,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\test\cordana,SIH_DATASET/processed/banana_leaf,Banana Leaf,cordana (test),57,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\test\healthy,SIH_DATASET/processed/banana_leaf,Banana Leaf,healthy (test),54,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\test\pestalotiopsis,SIH_DATASET/processed/banana_leaf,Banana Leaf,pestalotiopsis (test),58,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\banana_leaf\test\sigatoka,SIH_DATASET/processed/banana_leaf,Banana Leaf,sigatoka (test),88,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\train\Footrot,SIH_DATASET/processed/black_pepper,Black Pepper,Footrot (train),400,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\train\Pollu_Disease,SIH_DATASET/processed/black_pepper,Black Pepper,Pollu_Disease (train),400,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\train\Slow-Decline,SIH_DATASET/processed/black_pepper,Black Pepper,Slow-Decline (train),400,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\valid\Footrot,SIH_DATASET/processed/black_pepper,Black Pepper,Footrot (valid),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\valid\Pollu_Disease,SIH_DATASET/processed/black_pepper,Black Pepper,Pollu_Disease (valid),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\valid\Slow-Decline,SIH_DATASET/processed/black_pepper,Black Pepper,Slow-Decline (valid),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\test\Footrot,SIH_DATASET/processed/black_pepper,Black Pepper,Footrot (test),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\test\Pollu_Disease,SIH_DATASET/processed/black_pepper,Black Pepper,Pollu_Disease (test),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\black_pepper\test\Slow-Decline,SIH_DATASET/processed/black_pepper,Black Pepper,Slow-Decline (test),50,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\train\bacterial_blight,SIH_DATASET/processed/cotton,Cotton,bacterial_blight (train),358,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\train\curl_virus,SIH_DATASET/processed/cotton,Cotton,curl_virus (train),333,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\train\fussarium_wilt,SIH_DATASET/processed/cotton,Cotton,fussarium_wilt (train),335,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\train\healthy,SIH_DATASET/processed/cotton,Cotton,healthy (train),340,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\valid\bacterial_blight,SIH_DATASET/processed/cotton,Cotton,bacterial_blight (valid),44,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\valid\curl_virus,SIH_DATASET/processed/cotton,Cotton,curl_virus (valid),41,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\valid\fussarium_wilt,SIH_DATASET/processed/cotton,Cotton,fussarium_wilt (valid),41,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\valid\healthy,SIH_DATASET/processed/cotton,Cotton,healthy (valid),42,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\test\bacterial_blight,SIH_DATASET/processed/cotton,Cotton,bacterial_blight (test),46,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\test\curl_virus,SIH_DATASET/processed/cotton,Cotton,curl_virus (test),43,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\test\fussarium_wilt,SIH_DATASET/processed/cotton,Cotton,fussarium_wilt (test),43,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\cotton\test\healthy,SIH_DATASET/processed/cotton,Cotton,healthy (test),43,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\train\Healthy,SIH_DATASET/processed/ragi,Ragi,Healthy (train),1060,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\train\blast,SIH_DATASET/processed/ragi,Ragi,blast (train),2340,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\train\rust,SIH_DATASET/processed/ragi,Ragi,rust (train),1647,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\valid\Healthy,SIH_DATASET/processed/ragi,Ragi,Healthy (valid),132,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\valid\blast,SIH_DATASET/processed/ragi,Ragi,blast (valid),292,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\valid\rust,SIH_DATASET/processed/ragi,Ragi,rust (valid),205,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\test\Healthy,SIH_DATASET/processed/ragi,Ragi,Healthy (test),134,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\test\blast,SIH_DATASET/processed/ragi,Ragi,blast (test),294,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\ragi\test\rust,SIH_DATASET/processed/ragi,Ragi,rust (test),207,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\Anthracnose,SIH_DATASET/processed/tea,Tea,Anthracnose (train),80,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\algal_leaf,SIH_DATASET/processed/tea,Tea,algal_leaf (train),90,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\bird_eye_spot,SIH_DATASET/processed/tea,Tea,bird_eye_spot (train),80,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\brown_blight,SIH_DATASET/processed/tea,Tea,brown_blight (train),90,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\gray_light,SIH_DATASET/processed/tea,Tea,gray_light (train),80,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\healthy,SIH_DATASET/processed/tea,Tea,healthy (train),59,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\red_leaf_spot,SIH_DATASET/processed/tea,Tea,red_leaf_spot (train),114,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\train\white_spot,SIH_DATASET/processed/tea,Tea,white_spot (train),113,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\Anthracnose,SIH_DATASET/processed/tea,Tea,Anthracnose (valid),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\algal_leaf,SIH_DATASET/processed/tea,Tea,algal_leaf (valid),11,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\bird_eye_spot,SIH_DATASET/processed/tea,Tea,bird_eye_spot (valid),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\brown_blight,SIH_DATASET/processed/tea,Tea,brown_blight (valid),11,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\gray_light,SIH_DATASET/processed/tea,Tea,gray_light (valid),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\healthy,SIH_DATASET/processed/tea,Tea,healthy (valid),7,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\red_leaf_spot,SIH_DATASET/processed/tea,Tea,red_leaf_spot (valid),14,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\valid\white_spot,SIH_DATASET/processed/tea,Tea,white_spot (valid),14,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\Anthracnose,SIH_DATASET/processed/tea,Tea,Anthracnose (test),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\algal_leaf,SIH_DATASET/processed/tea,Tea,algal_leaf (test),12,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\bird_eye_spot,SIH_DATASET/processed/tea,Tea,bird_eye_spot (test),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\brown_blight,SIH_DATASET/processed/tea,Tea,brown_blight (test),12,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\gray_light,SIH_DATASET/processed/tea,Tea,gray_light (test),10,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\healthy,SIH_DATASET/processed/tea,Tea,healthy (test),8,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\red_leaf_spot,SIH_DATASET/processed/tea,Tea,red_leaf_spot (test),15,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tea\test\white_spot,SIH_DATASET/processed/tea,Tea,white_spot (test),15,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Bacterial_spot,SIH_DATASET/processed/tomato,Tomato,Bacterial_spot (train),2826,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Early_blight,SIH_DATASET/processed/tomato,Tomato,Early_blight (train),2455,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Late_blight,SIH_DATASET/processed/tomato,Tomato,Late_blight (train),3113,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Leaf_Mold,SIH_DATASET/processed/tomato,Tomato,Leaf_Mold (train),2754,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Septoria_leaf_spot,SIH_DATASET/processed/tomato,Tomato,Septoria_leaf_spot (train),2882,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Spider_mites Two-spotted_spider_mite,SIH_DATASET/processed/tomato,Tomato,Spider_mites Two-spotted_spider_mite (train),1747,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Target_Spot,SIH_DATASET/processed/tomato,Tomato,Target_Spot (train),1827,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Tomato_Yellow_Leaf_Curl_Virus,SIH_DATASET/processed/tomato,Tomato,Tomato_Yellow_Leaf_Curl_Virus (train),2039,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\Tomato_mosaic_virus,SIH_DATASET/processed/tomato,Tomato,Tomato_mosaic_virus (train),2153,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\healthy,SIH_DATASET/processed/tomato,Tomato,healthy (train),3051,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\train\powdery_mildew,SIH_DATASET/processed/tomato,Tomato,powdery_mildew (train),1004,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Bacterial_spot,SIH_DATASET/processed/tomato,Tomato,Bacterial_spot (valid),366,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Early_blight,SIH_DATASET/processed/tomato,Tomato,Early_blight (valid),321,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Late_blight,SIH_DATASET/processed/tomato,Tomato,Late_blight (valid),396,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Leaf_Mold,SIH_DATASET/processed/tomato,Tomato,Leaf_Mold (valid),369,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Septoria_leaf_spot,SIH_DATASET/processed/tomato,Tomato,Septoria_leaf_spot (valid),373,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Spider_mites Two-spotted_spider_mite,SIH_DATASET/processed/tomato,Tomato,Spider_mites Two-spotted_spider_mite (valid),217,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Target_Spot,SIH_DATASET/processed/tomato,Tomato,Target_Spot (valid),228,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Tomato_Yellow_Leaf_Curl_Virus,SIH_DATASET/processed/tomato,Tomato,Tomato_Yellow_Leaf_Curl_Virus (valid),249,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\Tomato_mosaic_virus,SIH_DATASET/processed/tomato,Tomato,Tomato_mosaic_virus (valid),292,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\healthy,SIH_DATASET/processed/tomato,Tomato,healthy (valid),403,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\valid\powdery_mildew,SIH_DATASET/processed/tomato,Tomato,powdery_mildew (valid),126,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Bacterial_spot,SIH_DATASET/processed/tomato,Tomato,Bacterial_spot (test),366,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Early_blight,SIH_DATASET/processed/tomato,Tomato,Early_blight (test),322,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Late_blight,SIH_DATASET/processed/tomato,Tomato,Late_blight (test),396,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Leaf_Mold,SIH_DATASET/processed/tomato,Tomato,Leaf_Mold (test),370,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Septoria_leaf_spot,SIH_DATASET/processed/tomato,Tomato,Septoria_leaf_spot (test),373,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Spider_mites Two-spotted_spider_mite,SIH_DATASET/processed/tomato,Tomato,Spider_mites Two-spotted_spider_mite (test),218,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Target_Spot,SIH_DATASET/processed/tomato,Tomato,Target_Spot (test),229,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Tomato_Yellow_Leaf_Curl_Virus,SIH_DATASET/processed/tomato,Tomato,Tomato_Yellow_Leaf_Curl_Virus (test),249,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\Tomato_mosaic_virus,SIH_DATASET/processed/tomato,Tomato,Tomato_mosaic_virus (test),292,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\healthy,SIH_DATASET/processed/tomato,Tomato,healthy (test),403,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\SIH_DATASET\processed\tomato\test\powdery_mildew,SIH_DATASET/processed/tomato,Tomato,powdery_mildew (test),126,Extracted Pre-split,CC BY-NC-SA 4.0 / Mendeley Data,YES
F:\Tomato dataset.zip::Bacterial_spot,Tomato dataset.zip,Tomato,Bacterial_spot,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Early_blight,Tomato dataset.zip,Tomato,Early_blight,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Late_blight,Tomato dataset.zip,Tomato,Late_blight,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Leaf_Mold,Tomato dataset.zip,Tomato,Leaf_Mold,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Septoria_leaf_spot,Tomato dataset.zip,Tomato,Septoria_leaf_spot,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Spider_mites Two-spotted_spider_mite,Tomato dataset.zip,Tomato,Spider_mites Two-spotted_spider_mite,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Target_Spot,Tomato dataset.zip,Tomato,Target_Spot,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Tomato_Yellow_Leaf_Curl_Virus,Tomato dataset.zip,Tomato,Tomato_Yellow_Leaf_Curl_Virus,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::Tomato_mosaic_virus,Tomato dataset.zip,Tomato,Tomato_mosaic_virus,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::healthy,Tomato dataset.zip,Tomato,healthy,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\Tomato dataset.zip::powdery_mildew,Tomato dataset.zip,Tomato,powdery_mildew,2957,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Apple__black_rot,archive (1).zip,PlantVillage Multi-Crop (23 species),Apple__black_rot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Apple__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Apple__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Apple__rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Apple__rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Apple__scab,archive (1).zip,PlantVillage Multi-Crop (23 species),Apple__scab,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cassava__bacterial_blight,archive (1).zip,PlantVillage Multi-Crop (23 species),Cassava__bacterial_blight,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cassava__brown_streak_disease,archive (1).zip,PlantVillage Multi-Crop (23 species),Cassava__brown_streak_disease,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cassava__green_mottle,archive (1).zip,PlantVillage Multi-Crop (23 species),Cassava__green_mottle,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cassava__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Cassava__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cassava__mosaic_disease,archive (1).zip,PlantVillage Multi-Crop (23 species),Cassava__mosaic_disease,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cherry__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Cherry__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Cherry__powdery_mildew,archive (1).zip,PlantVillage Multi-Crop (23 species),Cherry__powdery_mildew,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Chili__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Chili__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Chili__leaf curl,archive (1).zip,PlantVillage Multi-Crop (23 species),Chili__leaf curl,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Chili__leaf spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Chili__leaf spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Chili__whitefly,archive (1).zip,PlantVillage Multi-Crop (23 species),Chili__whitefly,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Chili__yellowish,archive (1).zip,PlantVillage Multi-Crop (23 species),Chili__yellowish,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Coffee__cercospora_leaf_spot,archive (1).zip,PlantVillage Multi-Crop (23 species),Coffee__cercospora_leaf_spot,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Coffee__healthy,archive (1).zip,PlantVillage Multi-Crop (23 species),Coffee__healthy,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Coffee__red_spider_mite,archive (1).zip,PlantVillage Multi-Crop (23 species),Coffee__red_spider_mite,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\archive (1).zip::Coffee__rust,archive (1).zip,PlantVillage Multi-Crop (23 species),Coffee__rust,898,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
