crop_id,crop_name,category,online_ai_enabled,offline_onnx_enabled,disease_knowledge_available,pest_knowledge_available,nutrient_knowledge_available,status
palmyrah,Palmyrah,plantation,true,false,true,true,false,ONLINE_AI_ENABLED
black_pepper,Black Pepper,spice,true,false,true,true,false,ONLINE_AI_ENABLED
cardamom,Cardamom,spice,true,false,true,true,false,ONLINE_AI_ENABLED
turmeric,Turmeric,spice,true,false,true,true,false,ONLINE_AI_ENABLED
ginger,Ginger,spice,true,false,true,true,false,ONLINE_AI_ENABLED
clove,Clove,spice,true,false,true,true,false,ONLINE_AI_ENABLED
coriander,Coriander,spice,true,false,true,true,false,ONLINE_AI_ENABLED
cumin,Cumin,spice,true,false,true,true,false,ONLINE_AI_ENABLED
fenugreek,Fenugreek,spice,true,false,true,true,false,ONLINE_AI_ENABLED
betel_vine,Betel Vine,other,true,false,true,true,false,ONLINE_AI_ENABLED
tamarind,Tamarind,other,false,false,true,true,false,OUTSIDE_75_TARGET
