crop_id,crop_name,category,disease_ai_status,disease_knowledge_status,pest_ai_status,pest_knowledge_status,nutrient_ai_status,nutrient_knowledge_status,overall_readiness,notes
sugarcane,sugarcane,commercial,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,DISEASE_AI_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
tobacco,tobacco,commercial,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
tomato,tomato,vegetable,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
chilli,chilli,vegetable,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
brinjal,brinjal,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,AI_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
onion,onion,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
okra,okra,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
potato,potato,vegetable,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,AI_AVAILABLE,NEEDS_MORE_DATA,FULL_AI_ENABLED,"Independent models, zero fabricated confidence, verified agronomic database"
tapioca,tapioca,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
sweet_potato,sweet_potato,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
drumstick,drumstick,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cucumber,cucumber,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
pumpkin,pumpkin,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
bitter_gourd,bitter_gourd,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
bottle_gourd,bottle_gourd,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
ridge_gourd,ridge_gourd,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
beans,beans,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cabbage,cabbage,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cauliflower,cauliflower,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
carrot,carrot,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
beetroot,beetroot,vegetable,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
banana,banana,fruit,AI_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,DISEASE_AI_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
mango,mango,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
papaya,papaya,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
pomegranate,pomegranate,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
guava,guava,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
sapota,sapota,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
pineapple,pineapple,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
grapes,grapes,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
jackfruit,jackfruit,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
watermelon,watermelon,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
muskmelon,muskmelon,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
citrus_lime,citrus_lime,fruit,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
coconut,coconut,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
arecanut,arecanut,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cashew,cashew,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
coffee,coffee,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
tea,tea,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
rubber,rubber,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cocoa,cocoa,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
oil_palm,oil_palm,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
palmyrah,palmyrah,plantation,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
black_pepper,black_pepper,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cardamom,cardamom,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
turmeric,turmeric,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
ginger,ginger,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
clove,clove,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
coriander,coriander,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
cumin,cumin,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
fenugreek,fenugreek,spice,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
betel_vine,betel_vine,other,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
tamarind,tamarind,other,NOT_AVAILABLE,KNOWLEDGE_AVAILABLE,NOT_AVAILABLE,NEEDS_MORE_DATA,NOT_AVAILABLE,NEEDS_MORE_DATA,AGRONOMIC_KNOWLEDGE_ONLY,"Independent models, zero fabricated confidence, verified agronomic database"
