original_path,processed_path,action,reason,dataset,crop,class
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-1-_jpg.rf.d9010f699490fd0b0e37fc050d99d9fd.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-1-_jpg.rf.d9010f699490fd0b0e37fc050d99d9fd.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-15-_jpg.rf.9fb3c8e45de5f6afc1831c9db567e3c8.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-15-_jpg.rf.9fb3c8e45de5f6afc1831c9db567e3c8.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-20-_jpg.rf.3818cf438f106d137b3e68d53cf3f988.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-20-_jpg.rf.3818cf438f106d137b3e68d53cf3f988.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-21-_jpg.rf.e3a88202e82aeb81e27ea853db2980b9.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-21-_jpg.rf.e3a88202e82aeb81e27ea853db2980b9.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-41-_jpg.rf.cb0045747a4692b2179e34dac9f39440.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-41-_jpg.rf.cb0045747a4692b2179e34dac9f39440.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-46-_jpg.rf.6e42a11afc35684f64c0091d10713950.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-46-_jpg.rf.6e42a11afc35684f64c0091d10713950.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-47-_jpg.rf.b03d8a183adb0867be3919b2bb4881ad.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-47-_jpg.rf.b03d8a183adb0867be3919b2bb4881ad.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-51-_JPG.rf.d2470fc1d879fdd5c7fb8e03bad74ab1.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-51-_JPG.rf.d2470fc1d879fdd5c7fb8e03bad74ab1.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-53-_JPG.rf.a42a37f1186bc9c0f6978c4f0c62ad12.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-53-_JPG.rf.a42a37f1186bc9c0f6978c4f0c62ad12.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-56-_JPG.rf.abddec778da171e43b918257e5240470.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-56-_JPG.rf.abddec778da171e43b918257e5240470.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-57-_JPG.rf.69874c3c29a72f9ac7cd7bc105bc8841.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-57-_JPG.rf.69874c3c29a72f9ac7cd7bc105bc8841.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-58-_JPG.rf.e3c192c1506d12e18c05a13f2fca3397.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-58-_JPG.rf.e3c192c1506d12e18c05a13f2fca3397.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-59-_JPG.rf.ea0629cb752b029c2dacf1ae7a5bc7ab.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-59-_JPG.rf.ea0629cb752b029c2dacf1ae7a5bc7ab.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-62-_JPG.rf.cc8dccf2f20a6e83c68936b9bc8b60f8.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-62-_JPG.rf.cc8dccf2f20a6e83c68936b9bc8b60f8.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-70-_JPG.rf.ed4f06aec051a9cd2e7db43f003c2b21.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-70-_JPG.rf.ed4f06aec051a9cd2e7db43f003c2b21.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-71-_JPG.rf.ffd3276ac3d7c3344ec72adc44d273cc.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-71-_JPG.rf.ffd3276ac3d7c3344ec72adc44d273cc.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-73-_JPG.rf.690cfb2d0dd7256687c68ec3c3d0448c.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-73-_JPG.rf.690cfb2d0dd7256687c68ec3c3d0448c.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-74-_JPG.rf.ead72d5409a22076e06fc1b832236f78.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-74-_JPG.rf.ead72d5409a22076e06fc1b832236f78.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-76-_JPG.rf.30f1495ca1c4f116e00e82a7969c77b0.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-76-_JPG.rf.30f1495ca1c4f116e00e82a7969c77b0.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-77-_JPG.rf.80c0f4bb7feefa7f5cab7504872f9a37.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-77-_JPG.rf.80c0f4bb7feefa7f5cab7504872f9a37.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-80-_JPG.rf.317a7711a02a3f3b4207114e6ba65e8f.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-80-_JPG.rf.317a7711a02a3f3b4207114e6ba65e8f.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-82-_JPG.rf.4f4dcda30c1a05ef21c54c1da15004a4.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-82-_JPG.rf.4f4dcda30c1a05ef21c54c1da15004a4.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-83-_JPG.rf.7685b68e1dd6576df2e86a9c00ce8951.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-83-_JPG.rf.7685b68e1dd6576df2e86a9c00ce8951.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-91-_JPG.rf.0c3d93d4d8598178423c570f44c4a261.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-91-_JPG.rf.0c3d93d4d8598178423c570f44c4a261.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_H-96-_JPG.rf.a5bbf6b382dfe8be2f7aa153d3720571.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Healthy\DS_SUGAR_02_Healthy_S_H-96-_JPG.rf.a5bbf6b382dfe8be2f7aa153d3720571.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Healthy
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-1-_jpg.rf.ac62c73e2ec23006ba09a1b6c72722e1.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-1-_jpg.rf.ac62c73e2ec23006ba09a1b6c72722e1.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-22-_JPG.rf.9184efd4b66418b313bbc0fdd4534e02.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-22-_JPG.rf.9184efd4b66418b313bbc0fdd4534e02.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-33-_JPG.rf.32d9a39c7061d0402d128d878f3ea5ac.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-33-_JPG.rf.32d9a39c7061d0402d128d878f3ea5ac.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-35-_JPG.rf.9e182fe213c4cddf46959b73fb7a2f03.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-35-_JPG.rf.9e182fe213c4cddf46959b73fb7a2f03.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-41-_JPG.rf.e771d01f03e5cb9ab6008c788fbfa2d7.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-41-_JPG.rf.e771d01f03e5cb9ab6008c788fbfa2d7.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-42-_JPG.rf.626423943305407c5e226dbc031c745e.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-42-_JPG.rf.626423943305407c5e226dbc031c745e.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-48-_JPG.rf.65caa6f9b59ee859b7753738c103ec7e.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-48-_JPG.rf.65caa6f9b59ee859b7753738c103ec7e.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\raw\DS_SUGAR_02\test\images\S_RR-49-_JPG.rf.19b32b921ea0d2291fb1e850925ab131.jpg,C:\Users\Prathach Raj P\.gemini\antigravity\scratch\krishi-marga\dataset_research\KRISHI_MARGA_DATASETS\02_Cash_Industrial\Sugarcane\processed\images\Red_Rot\DS_SUGAR_02_Red_Rot_S_RR-49-_JPG.rf.19b32b921ea0d2291fb1e850925ab131.jpg,KEPT,Valid image passing all automated filters,DS_SUGAR_02,Sugarcane,Red Rot
